id,organizationStatus,name,alternateName,description,email,website,taxStatus
153,active,Adoption Knowledge Affiliates,AKA,"Adoption Knowledge Affiliates connects individuals, families, and professionals in their adoption journey through lifelong education and support.AKA recognizes that adoption is a life-long experience; therefore, we serve as an ongoing informational & emotional resource for people touched by adoption. AKA endorses ideas and practices that serve to support the dignity of children and the dignity of their birth and adoptive families. AKA recognizes a responsibility and commitment to share experiences, positive and negative, in order to contribute to the public's understanding of adoption issues and to enable reform in adoption practices. AKA believes any significant description of adoption must involve a balance of ALL segments of the triad; therefore, we encourage the collective participation of birth parents, adoptive parents and adopted people. AKA supports practices which promote honesty and which responsibly educate participants about adoption's unique issues and concerns. AKA supports the adopted persons' fundamental right to accurate information of their history, the birthparents' fundamental right to accurate information regarding their children placed for adoption, and the adoptive parents fundamental right to accurate information regarding their children's birthfamilies. AKA asserts that each participant in adoption experiences grief and loss therefore, any significant description of the adoption experience must recognize the themes of grief and loss. We recognize the vulnerability of each member of the triad; therefore, AKA endorses professionals who are committed to educating and empowering triad members with full information regarding their choices and the life-long implications of those choices. We are a 501c3 nonprofit and have been serving the Central Texas adoption and foster care community since 1992. ?",,https://www.adoptionknowledge.org,"[""Nonprofit - Incorporated""]"
173,active,Advocacy Outreach,Al Guerrero Adult Literacy Center (former name); AO; Advocacy Outreach Learning Center (former name),Operates a free thrift store and a homeless resource center. Offers notary services and forms assistance.,,https://www.advocacyoutreach.org,"[""Nonprofit - Unincorporated""]"
175,active,"Advocacy, Inc.",Advocacy Incorporated,Provides statewide advocacy for the rights of Texans with disabilities through six regional offices throughout the state.,,https://www.disabilityrightstx.org,"[""Nonprofit""]"
180,active,Affordable Housing Network,,Provides a web-based rental-listing service for the Section 8 housing market.,,https://www.gosection8.com,"[""Government - Federal""]"
181,active,African American Youth Harvest Foundation (AAYHF),,"Provides resources to at-risk youth and adults, including: substance abuse and mental health counseling, workforce development, truancy prevention, mentoring, and STEM (Science,Technology, Engineering, and Math) training.",contact@mysite.com,https://www.aayhf.org,"[""Nonprofit - Incorporated""]"
182,active,After Breast Cancer Diagnosis (ABCD),,"Provides breast cancer support through its signature One-to-One mentoring breast cancer support service, a Breast Cancer Helpline and Resource List, outreach, and education.",,http://www.abcdbreastcancersupport.org/,"[""Nonprofit""]"
190,active,Agape Pregnancy Resource Center,Agape PRC,"Provides pregnancy tests, limited ultrasound, educational classes, and other pregnancy services.",,https://www.agapeprc.org,"[""Nonprofit - Incorporated""]"
191,active,AGE of Central Texas,Austin Groups for the Elderly; AGE,"Provides services for older adults, and their caregivers, in Central Texas.Offers the following core programs: adult day health center, caregiver education, early memory loss support, health equipment lending, resource information, and peer-based computer classes.",Info@AGEofCentralTX.org,http://www.ageofcentraltx.org,"[""Nonprofit - Incorporated""]"
197,active,AgriSafe Network,,Builds the competency of health and safety professionals to deliver exceptional occupational agricultural health care.,,https://www.agrisafe.org/,"[""Nonprofit - Incorporated""]"
199,active,aha! Accessible Housing Austin,,"Provides housing for the disabled and low-income individuals, families.",,https://ahaustin.org,"[""Nonprofit - Incorporated""]"
210,active,Air Compassion For Veterans,,"Provides no-cost travel services for eligible troops, wounded warriors, veterans and their families to access distant specialized medical evaluation, diagnosis, treatment, or rehabilitation.",info@aircompassionforveterans.org,http://www.aircompassionforveterans.org,"[""Nonprofit""]"
212,active,Air Force Aid Society (AFAS),,"Provides emergency financial assistance; education grants, loans, and scholarships; and targeted community programs to help air force families.",,http://www.afas.org,"[""Nonprofit""]"
235,active,Al-Anon Family Group,,"Provides support groups for friends and family members of individuals who have a drinking problem. Support groups are in-person, telephone-based, or online.",wso@al-anon.org,https://al-anon.org/,"[""Nonprofit - Incorporated""]"
251,active,Alcoholics Anonymous,AA,"Provides a fellowship of individuals who have had a drinking problem and want to address the issue. Offers literature, resources, information about the 12 step program, and support groups nationally and internationally for those wanting to do something about their drinking problem.",,,"[""None or unknown""]"
278,active,Aligned Education Foundation,,"Educates Veterans on their Veteran Affairs (VA) Home Loan benefits, provide financial readiness workshops, and connect them with other organizations that will assist them with homeownership and managing finances.",education@alignededu.org,https://alignededu.org,"[""Nonprofit - Incorporated""]"
290,active,Allegiance Behavioral Hospital,,Dedicated to improving access to specialized healthcare throughout rural communities while partnering with other providers to create additional opportunities in healthcare operations.,,https://freedomlakecharles.com/,"[""None or unknown""]"
300,active,"Allgo, Inc.","Austin Latino/Latina Lesbian, Gay, Bisexual & Transgender Organization;  Informe Sida HIV Testing","Provides information, education and advocacy services for queer men and women of color.",,https://www.allgo.org,"[""Nonprofit - Incorporated""]"
307,active,Alliance for Young Future Filmmakers,Austin Youth Film Festival,"Provides a film festival and year-round mentorship program for young, independent filmmakers.",,https://austinyouthfilmfestival.org,"[""Nonprofit - Incorporated""]"
309,active,Alliance of Hope,,"Provides support to individuals who have lost someone to suicide. Offers a community forum, a searchable database to locate support groups, phone and online counseling, and literature on surviving the loss of a loved one.",,https://allianceofhope.org/,"[""Nonprofit - Incorporated""]"
310,active,Inform USA,Alliance of Information and Referral Systems (AIRS),Serves as the membership association for information & referral professionals.,,https://www.informusa.org/,"[""Nonprofit - Incorporated""]"
318,active,"ALS Association of Texas, The",ALS Texas,"Works to find treatments and a cure for ALS. Serves, advocates for, and empowers people affected by ALS.",info@alstexas.org,https://www.alstexas.org,"[""Nonprofit - Incorporated""]"
345,active,Alzheimer's Association Capital of Texas Chapter,Alzheimers Association' Alzheimer's COT,"Provides information, referral, and advocacy services for individuals affected by Alzheimer's disease, their families, and their caregivers.",,https://www.alz.org/texascapital,"[""Nonprofit - Incorporated""]"
381,active,Amazing Grace Food Pantry,,Provides a food pantry.,,https://amazinggracepantry.org,"[""Nonprofit - Incorporated""]"
389,active,America Saves,Texas Saves Week; Urban Financial Literacy Center,"Serves as a national campaign to help individuals save money, reduce debt, and build wealth.",,https://americasaves.org/,"[""Nonprofit""]"
390,active,American Academy of Pediatrics (AAP),,Promotes various public health initiatives particularly concerning pediatrics.,,http://www.aap.org/,"[""Nonprofit""]"
394,active,American Bar Association,,"Membership group of lawyers, law students, and others interested in the law and legal profession.",,https://www.americanbar.org/,"[""Nonprofit - Incorporated""]"
395,active,American Breast Cancer Foundation (ABCF),,Helps men and women of all ages with and without insurance with breast imaging and breast cancer resources. Assists with the costs of a breast exam in order to obtain a referral for breast imaging.,,https://www.abcf.org,"[""Nonprofit - Incorporated""]"
408,active,American Cancer Society (ACS),,"Provides funding, conducts research, shares expert information, supports patients, and educates about cancer prevention.",,http://www.cancer.org,"[""Nonprofit - Incorporated""]"
410,active,American Cancer Society (Austin Office),"ACS,American Cancer Society Central Texas Region Office,Look Good Feel Better",,,https://www.cancer.org,"[""Nonprofit""]"
411,active,American Cancer Society (National Cancer Information Center),NCIC,,,https://www.cancer.org,"[""Nonprofit""]"
417,active,American Cleft Palate-Craniofacial Association (ACPA),ACPA Family Services,"Serves individuals and families affected by cleft lip/palate and other craniofacial conditions by connecting them to team care, providing education, and offering personal support.",,https://acpa-cpf.org/,"[""Nonprofit - Incorporated""]"
418,active,American Council of the Blind (ACB),,"Provides a national membership organization for information and referral services on non-medical aspects of blindness and support groups in nearly every state. Hosts an annual conference and an annual legislative seminar in Washington, provides college scholarships, publishes magazines, podcast, and E-Forum (e-mail, online and podcast versions only).",,http://www.acb.org,"[""Nonprofit - Incorporated""]"
419,active,American Dental Association (ADA),,Assists the dentistry profession in advancing the overall oral health of their patients.,,http://www.ada.org,"[""Nonprofit - Incorporated""]"
420,active,American Diabetes Association,,"Provides information and other services to people with diabetes, their families, health care professionals and the public, and advocates for scientific research and for the rights of people with diabetes.",AskADA@diabetes.org,http://www.diabetes.org,"[""Nonprofit - Incorporated""]"
423,active,American Electric Power - Texas (AEP),,"Delivers electricity in Texas marketplace, including the major cities of Corpus Christi, Abilene, McAllen, Harlingen, San Angelo, Vernon, Victoria, and Laredo. Additional activities includes building new power lines, restoring service following outages and connecting or disconnecting service upon the orders of the Retail Electric Providers (REP).",,https://www.aeptexas.com,"[""Commercial""]"
424,active,American Ex-Prisoners of War,,Helps those affected by their capture deal with the trauma through friendship of those who shared a common experience.,,https://www.axpow.org,"[""Nonprofit - Incorporated""]"
425,active,American Foundation for the Blind,,"Provides various products, materials, and services for people who are blind or experiencing vision loss.",cs@aph.org,https://www.aph.org/,"[""Nonprofit - Incorporated""]"
426,active,American Foundation for the Blind (AFB),,Provides information and referral to blind and visually impaired persons and their families. Distributes information on publications and products for people with vision problems. Provides public education about blindness and visual impairment.,,http://www.afb.org,"[""Nonprofit - Incorporated""]"
427,active,American Gateways,PAPA; Political Asylum Project of Austin,Provides low or no-cost immigration legal services and orientation.,,https://www.americangateways.org,"[""Nonprofit - Incorporated""]"
428,active,American GI Forum - National Veterans Outreach Program (NVOP) - Austin,American GI Forum - National Veterans Outreach Program (NVOP),Provides employment and training services for veterans and non-veterans.,imosqueda@agif-nvop.org,https://www.agif-nvop.org,"[""Nonprofit - Incorporated""]"
431,active,American Guild of Musical Artists (AGMA) Relief Fund,AGMA Relief Fund,Provides assistance to members of the American Guild of Musical Artists who are in need of financial assistance or career retraining.,,https://agmarelief.org/,"[""Nonprofit - Incorporated""]"
436,active,American Heart Association (AHA),American Stroke Club; Mended Hearts Club,Serves as a national organization working to end cardiovascular disease and stroke.,,https://www.heart.org/,"[""Nonprofit - Incorporated""]"
440,active,American Immigration Lawyers Association,,Provides legal support for families seeking asylum.,,http://www.aila.org/,"[""Nonprofit - Incorporated""]"
443,active,American Legion Department of Texas,,Provides support services to veterans.,txlegion@txlegion.org,https://www.txlegion.org,"[""Nonprofit - Incorporated""]"
449,active,American Liver Foundation (ALF),,"A national volunteer health organization dedicated to the prevention, treatment, and cure of liver disease through research, education, and advocacy.",,https://www.liverfoundation.org,"[""Nonprofit - Incorporated""]"
453,active,American Optometric Association - Optometry Cares (AOA),,Serves as the foundation of the American Optometric Association. Works to expand eye health and vision care access to everyone in the U.S.,foundation@aoa.org,http://www.aoafoundation.org/,"[""Nonprofit - Incorporated""]"
454,active,American Organ Transplant Association (AOTA),AOTA,Provides complimentary bus transportation through Greyhound to people who have undergone or are about to undergo organ transplants. Also provides resources and medication assistance.,,https://rarediseases.org/organizations/american-organ-transplant-association/,"[""Nonprofit - Incorporated""]"
460,active,American Radio Relay League,ARRL,"National membership association for Amateur Radio operators in the U.S. Represents Amateur Radio interests to regulatory bodies, provides technical assistance to radio amateurs and supports a number of education programs throughout the country.",,http://www.arrl.org/home,"[""Nonprofit - Incorporated""]"
463,active,American Red Cross,,Offers neutral humanitarian care to the victims of war and natural disasters worldwide as an emergency response organization.,,http://www.redcross.org/,"[""Nonprofit - Incorporated""]"
485,active,American Red Cross Serving Central Texas,American Red Cross Serving the Central and South Texas Region; American Red Cross of Central Texas; American Red Cross Travis County,"Provides emergency assistance after a fire and during a natural disaster, safety training, and services for military families.",,https://www.redcross.org/tx/Austin,"[""Nonprofit - Incorporated""]"
491,active,American Rescue Plan of 2021,,Provides information on this federal government financial support plan.  This is an informational resource only.,,,"[""Government - Federal""]"
492,active,American Sexual Health Association (ASHA),,Provides information on sexually transmitted diseases STDs/STIs and human immunodeficiency virus HIV to the general public.,,http://www.ashasexualhealth.org/,"[""Nonprofit""]"
493,active,American Stroke Association,National Stroke Association,"Promotes public awareness about stroke prevention, symptom recognition, treatment options and rehabilitation. Provides a warmline for stroke survivors and their family members, as well as a search tool for locating stroke support groups.",,http://www.stroke.org,"[""Nonprofit - Incorporated""]"
494,active,American Syringomyelia and Chiari Alliance Project (ASAP),,"Provides research, education, and support for those diagnosed with Syringomyelia, Chiari malformation, and related disorders.",,http://www.asap.org,"[""Nonprofit - Incorporated""]"
496,active,American YouthWorks,AIL; American Institute for Learning: American Youth Works; AmeriCorps' National Volunteer Service Program; AWY; AYW; E-Corps; RGK Foundation Downtown Youth Center for Health,Provides education and job skill training.,,https://www.americanyouthworks.org,"[""Nonprofit - Incorporated""]"
498,active,Amerigroup Community Care,"Amerigroup Health Plan, Medicaid HMO",Provides a health plan for recipients of Medicaid and CHIP through the StAR and StAR+PLUS Medicaid managed care programs in Texas.,,https://www.myamerigroup.com,"[""Nonprofit""]"
508,active,Amtrak,Texas Eagle,"Operates as the national rail transportation system in 46 states, the District of Columbia, and three Canadian provinces.",,https://www.amtrak.com,"[""Commercial""]"
514,active,Analyte Health,,Offers free HIV testing at across Texas. This program allows you to schedule a free HIV test  through the phone or online for a visit at a nearby lab.,,https://www.stdcheck.com,"[""Commercial""]"
558,active,Animal Trustees of Austin,ATA,"Provides affordable, humane veterinary care for area animals including wellness and surgical services.",,https://www.animaltrustees.org,"[""Nonprofit""]"
559,active,Anisha's Community Center,,Provides programs related to sustaining community basic needs health.,info@communitycenter.org,http://anishascommunitycenter.org,"[""Nonprofit - Incorporated""]"
567,active,Annie's Way Just Because Ministries of Hope,,Provides holiday assistance through Annie's Way Thanksgiving Dinner and Just Because Christmas Project.,,https://www.jbmhope.com/,"[""Nonprofit - Incorporated""]"
570,active,Annunciation Maternity Home,The Maternity Home; AMH,Provides housing and support services to women facing an unplanned pregnancy.,,https://www.thematernityhome.org,"[""Nonprofit - Incorporated""]"
582,active,Anxiety and Depression Association of America (ADAA),ADAA; Anxiety & Depression Association of America,"Provides information, resources, and sponsored events regarding the prevention, treatment, and cure of anxiety, depression, Obssessive-Compulsive Disorder (OCD), Post-Traumatic Stress Disorder (PTSD), and co-occurring disorders through education, practice, and research.",,https://adaa.org/,"[""Nonprofit - Incorporated""]"
583,active,Any Baby Can - Austin,ABC,"Provides education, therapy, and support services for families.",,https://www.anybabycan.org,"[""Nonprofit - Incorporated""]"
619,active,"Arc of Texas, The",,"Promotes, protects, and advocates for the human rights and self-determination of Texans with intellectual and developmental disabilities.",,https://www.thearcoftexas.org/,"[""Nonprofit - Incorporated""]"
620,active,"Arc of the Capital Area, The",,Provides services to empower individuals with intellectual and developmental disabilities and their families.,,https://www.arcaustin.org,"[""Nonprofit - Incorporated""]"
627,active,"ARCIL, Inc.",Austin Resource Center for Independent Living,"Provides information and referrals for housing, education, attendant services, and other community resources for people with disabilities.",,https://arcilinc.org/,"[""Nonprofit - Incorporated""]"
637,active,Area Ministries for Emergency Needs (A.M.E.N.),AMEN,Operates a weekly food pantry.,,https://www.facebook.com/amenlagrange,"[""Nonprofit - Incorporated""]"
668,active,Army Emergency Relief (AER),,"Serves as the Army's financial assistance organization, providing grants and/or zero interest loans to eligible Soldiers and Families: Active Duty, Retired Soldiers, and dependent surviving spouses and children. Provides assistance in over 30 categories, ranging from basic living expenses, personal transportation, dependent educational scholarships, to disaster relief.",,,"[""Nonprofit - Incorporated""]"
670,active,Army Survivor Outreach Services at Camp Mabry,SOS,Provides long term support to surviving families of fallen soldiers.,,https://tmd.texas.gov/survivor-outreach-services,"[""Government - Federal""]"
673,active,Art From the Streets,,,info@artfromthestreets.com,https://www.artfromthestreets.com/index.html,"[""Nonprofit""]"
676,active,Art Spark Texas,VSA Texas; Very Special Arts; VSATX; Kennedy's Center Office on Accessibility; Department of VSA and Accessibility at the John F Kennedy Center for the Performing Arts; VSA Arts of Texas; The State Organization on Arts and Disability,"Seeks to create an arts-inspired, inclusive community of individuals with diverse abilities. Provides cultural, professional, educational, and public awareness arts services to the community.",,https://www.artsparktx.org,"[""Nonprofit - Incorporated""]"
679,active,Arthritis Foundation,Arthritis Foundation of Central and South Texas,Researches for  treatments and a cure for arthritis; advocates for patients' access to affordable and effective health care; and provides information and resources to the adults and children living with the disease.,,http://arthritis.org,"[""Nonprofit - Incorporated""]"
691,active,Ascension Seton,Seton Healthcare Network; Seton Healthcare Family,Operates a healthcare network consisting of multiple hospitals and clinics.,,https://healthcare.ascension.org/,"[""Nonprofit - Incorporated""]"
693,active,ASHWell,Austin Sexual Health + Wellness; The Wright House Wellness Center,"Provides case management, outreach and prevention, and clinical services to individuals living with HIV and Hepatitis C.",,https://www.ashwellatx.org,"[""Nonprofit - Incorporated""]"
694,active,Asian American Cultural Center,AACC; Asian-American Culture Center,"Provides an Asian American cultural center to the community. Offers multicultural early childhood development program, after school program, spring and summer camps and a variety of cultural and language classes for children and adults.",,https://www.asianamericancc.com,"[""Commercial""]"
699,active,Asian Family Support Services of Austin,SAHELI (former name); Support Advocate Heal Empower Listen Inform; AFSSA,"Provides survivors assistance to Asian and other immigrant families who have experienced domestic violence, sexual assault, or sex trafficking.",,https://www.afssaustin.org/,"[""Nonprofit - Incorporated""]"
702,active,ASPCA (American Society for the Prevention of Cruelty to Animals),,Provides a hotline to assist individuals who believe their pets may have been exposed to a poisonous substance.,,http://www.aspca.org/pet-care/animal-poison-control,"[""Nonprofit - Incorporated""]"
703,active,Asperger-Autism Network (AANE),,"Provides resources and support groups for individuals with Asperger's or similar autism spectrum and neurodiverse profiles as well as their family members. Welcomes all individuals, regardless of gender, race, ethnicity, age, sexual orientation, or gender identification. Does not require that a child, teen, or adult receive any formal diagnosis in order to attend AANE educational events or explore services.",,https://www.aane.org/,"[""Nonprofit - Unincorporated""]"
712,active,Assistance League of Austin,ALA; AL Austin,Serves as a local chapter of the National Assistance League. Collaborates with community organizations to provide a variety of assistance.Operates a thrift shop selling new and gently used items.,,https://www.assistanceleague.org/austin,"[""Nonprofit - Incorporated""]"
715,active,Assistance League of Georgetown Area,,"Provides a thrift store with clothing, baby items, furniture, and household goods.",,https://www.assistanceleague.org/georgetown-area/,"[""Nonprofit - Incorporated""]"
719,active,Assisted Living Personal Care Network,,,info@alpcn.org,https://www.alpcn.org,"[""Nonprofit - Incorporated""]"
721,active,Assistive Technology Services,ATS,,dealerservices@atscares.com,https://ATSCares.com,"[""Commercial""]"
724,active,Association for Early Learning Leaders,CCCC; Child Care Career Center; FCCE; Fund for Child Care Excellence; Fund for Childcare Excellence; National Association of Child Care Professionals,"Aims to improve, enhance, and strengthen the credibility of the people who lead the child care industry by providing membership services and benefits.",,http://www.earlylearningleaders.org/,"[""Nonprofit - Incorporated""]"
726,active,Association for Pet Loss and Bereavement (APLB),,Provides grief support services and resources for people who have experienced the loss of a pet or are anticipating the loss of a pet.,,https://www.aplb.org/,"[""Nonprofit - Incorporated""]"
729,active,Association of Diabetes Care & Education Specialists (ADCES),,"Aims to improve diabetes care through innovative education, management, and support.",,https://www.diabeteseducator.org/home,"[""Government - Provincial""]"
747,active,Attendant Network,,Provides a free website that connects personal attendants with individual employers that need personal in-home care.,admin@attendantnetwork.org,https://www.attendantnetwork.org,"[""Nonprofit - Unincorporated""]"
749,active,Atticus Circle,,"Provides information, education and advocacy service for and about the LGBT community.",equality@atticuscircle.org,https://www.atticuscircle.org,"[""Nonprofit""]"
755,active,"Austin Achieve Public Schools, Inc.",,"Offers a tuition-free, open enrollment public charter school that works to prepare East Austin youth to attend and excel at top universities.",,https://austinachieve.org/,"[""Special District""]"
757,active,Austin African-American Firefighters Association,AAAFA,Serves as a local chapter of the International Association of Black Professional Firefighters. Works with the City of Austin to promote a diverse firefighter workforce.,,https://www.aaaffa.org,"[""Nonprofit - Incorporated""]"
758,active,Austin Al-Anon/Alateen Information Center,Austin Al Anon Info Center; Austin Alateen Info Center; Al-Anon Literature Distribution Center,Serves as an information clearinghouse for the Al-Anon and Alateen programs. Maintains a list of registered Al-Anon/Alateen meetings in Central Texas. Offers a literature distribution center.,,https://www.austinalanon.org,"[""Nonprofit""]"
759,active,Austin American Statesman,,Publishes a daily newspaper. Offers the Newspapers in Education program for students. Publishes annual Summer Camp Guide.,,https://www.statesman.com,"[""Commercial""]"
760,active,Austin Angels,,"Supports former foster youth, children in the foster care system, and their caregivers through the Dare to Dream and Love Box mentoring programs.",info@austinangels.com,https://www.austinangels.com,"[""Nonprofit - Incorporated""]"
761,active,Austin Area Birthing Center,Austin ABC,"Operates two birthing centers in the Austin area, providing an alternate to hospital labor and delivery.",,https://www.austinabc.com,"[""Commercial""]"
762,active,International Dyslexia Association (IDA) - Austin,IDA Austin; AABIDA; Austin IDA; Austin Area Branch of the International Dyslexia Association,"Offers a website and helpline providing information about dyslexia, conferences, teacher training, and referral lists of service providers offering testing and other services.",,https://aus.dyslexiaida.org/,"[""Nonprofit - Incorporated""]"
763,active,Austin Area Homeschoolers,AAH,Provides a network of families who homeschool or are exploring the possibility of homeschooling their children in the greater Austin area.,,https://www.main.org/aah,"[""Nonprofit - Unincorporated""]"
764,active,"Austin Area Mental Health Consumers, Inc. (AAMHC)",Self Help Advocacy Center; The SHAC,"Provides peer support groups, a peer mentor program, independent living skills training, and other resources for people living with mental illness or substance use issues.",admin@austinmhc.org,https://www.austinmhc.org,"[""Nonprofit - Incorporated""]"
765,active,Austin Area Transitional Living Facilities,"Sober Homes, Boarding Houses",,,,
766,active,"Austin Area Urban League, Inc.",AAUL,"Provides programs and services in the areas of COVID-19 Rapid Relief and response, education; workforce and career development; health and wellness; and the preservation of safe and affordable housing.",,https://www.aaul.org,"[""Nonprofit - Incorporated""]"
767,active,Austin Asian Community Health Initiative (AACHI),Asian American Resource Center Nonprofit (former name),Provides health-related resource navigation for underserved Asian and Asian American communities in Travis County by facilitating access to health and wellness services.,,https://www.aachi.org,"[""Nonprofit - Unincorporated""]"
768,active,Austin Baptist Chapel,Angel's House; Angel House; Angel House Soup Kitchen,"Provides daily breakfast, lunch, and showers. Provides clothing.",,https://austinbaptistchapel.com,"[""Nonprofit - Incorporated""]"
769,active,Austin Bar Association,Austin Bar,Serves as a professional organization for Austin area attorneys.Offers monthly legal advice clinics for veterans.Supports Travis County's Law Library by coordinating volunteer attorneys to be available at their Self-Help Center.,austinbar@austinbar.org,https://www.austinbar.org,"[""Nonprofit - Incorporated""]"
770,active,Austin Bat Cave,ABC; Kids Write Good,Offers writing programs for children and adults.,,http://austinbatcave.org,"[""Nonprofit - Incorporated""]"
771,active,"Austin Center for Grief & Loss, The",My Healing Place (former name),"Operates a counseling center offering individual counseling and support groups for individuals experiencing grief and loss. Offers community education and training, crisis response, and consulting.",,https://www.austingrief.org,"[""Nonprofit - Incorporated""]"
772,active,Austin Chapter of Children and Adults With Attention Deficit/ Hyperactivity Disorder (CHADD),"CHAAD of Austin,Children and Adults with Attention Disorders",,lindaclass@aol.com,https://www.austinchadd.org,
773,active,Austin Child Guidance Center,ACGC,"Assists in improving the mental health of children and their families through early intervention, diagnosis, and treatment. Provides trauma-informed individual therapy, family therapy, group therapy, and psychiatric services. Offers parent workshops and training for mental health professionals.",,http://austinchildguidance.org,"[""Nonprofit - Incorporated""]"
774,active,Austin Children's Services,"Austin Children's Shelter, Children's Shelter & Assessment Center, ACS",Provides emergency shelter and support services for children who have experienced abuse or neglect. Promotes a safe community in collaboration with SafePlace through the SAFE Alliance.,info@austinchildrenshelter.org,https://www.austinchildrenshelter.org,"[""Nonprofit - Incorporated""]"
775,active,Austin Chronicle,,Publishes a summer camp guide.,,https://www.austinchronicle.com,"[""Commercial""]"
776,active,Austin City Lutherans,ACL,Provides a weekly Bread for All food pantry.,,,"[""Nonprofit - Incorporated""]"
777,active,Austin Clubhouse,,Operates a community-based psychosocial rehabilitation program for adults living with mental illness.Supports client's psychiatric stability by creating a space to address quality of life issues and engage in meaningful work and relationships.,,https://austinclubhouse.org,"[""Nonprofit - Incorporated""]"
779,active,Austin Community College (ACC),ACC,Provides higher education services at a two-year community college. Operates multiple campuses.,,https://www.austincc.edu,"[""Special District""]"
780,active,Austin Community Law Center,ACLC,"Works to fill the access to justice gap by providing sliding scale, below-market rate legal services to clients ineligible for legal representation from legal aid.Provides legal representation for the following legal matters: family law, wills, probate, criminal defense, and civil litigation.",,https://www.austincommunitylawcenter.org/,"[""Nonprofit - Incorporated""]"
781,active,Austin Convention and Visitors Bureau,ACVB; Visit Austin,"Promotes Austin tourism. Operates the Visitor's Center, Palmer Events Center, and Convention Center.",,http://austintexas.org/about-acvb,"[""Nonprofit - Incorporated""]"
782,active,Austin Cops for Charities,Austin C4C,Provides portable air conditioning units for eligible Austin residents. Serves as a nonprofit division of the Austin Police Association. Works in cooperation with the Austin Police Department.,,https://www.austinc4c.com,"[""Nonprofit - Incorporated""]"
784,active,Austin Creative Alliance,"ACoT, Austin Circle of Theaters","Supports Austin's arts, cultural, and creative community.",,https://www.austincreativealliance.org,"[""Nonprofit - Incorporated""]"
785,active,Austin Diagnostic Clinic,ADR,Provides healthcare services for the greater Austin area.,,https://adclinic.com/service/travel-clinic,"[""Commercial""]"
