id,name,description,url,email,status,interpretationServices,applicationProcess,feesDescription,accreditations,eligibilityDescription,minimumAge,maximumAge,assuredDate,assurerEmail,alert,lastModified,organizationId,category
f230b1be-ad19-4478-865c-e2759c593845,Complaints,Processes and investigates complaints filed against registered nursing professionals.,http://www.bon.texas.gov/discipline_and_complaints_policies_and_guidelines_filecomplaint.asp,complaints@bon.texas.gov,ACTIVE,English,"To file a complaint: Complete the online form at https://txbn.boardsofnursing.org/complaint; orRequest a printed form by calling the Texas Board of Nursing or the Health Professions Council Complaint Line. Written complaints may be emailed, mailed to the Complaints and Enforcement location, or faxed; orIf you are unable to complete a complaint in writing, call the Telephone Complaints line for assistanceComplaints should include the following: Identity of the nurse involved, including the nursing license number or social security number, if known Detailed summary of each alleged violation, including dates and the medical record number of the patient involved List of any witnesses to the incidentsIf the incident involves medication, include the name of the medication (If you are an employer of 10 or more nurses and the Peer Review process has been completed) A copy of the Peer Review Report, including a detailed summary of the committee's findings and recommendations.",,,Open to the public,,,,,,,f8aad267-bd31-45f1-bb27-187434316f3c,Health Care
f5eab7fb-4fbc-4ef6-9a6a-a7a96f0bb23e,Texas Tuition Promise Plan,"Helps families and individuals prepay for all or some future tuition and school wide required fees at any two- or four-year Texas public college or university. Account holders purchase Tuition Units, which represent a fixed amount of undergraduate resident tuition and school wide required fees charged by Texas public colleges and universities.The Texas Match the Promise Foundation encourages families to save for college by offering matching scholarships and tuition grants to participants in the Texas Tuition Promise Fund.",http://www.tuitionpromise.org,,ACTIVE,"English, Spanish","Applications will be accepted between September 1 and February 28. Applications will be accepted through July 31 for children less than one year of age at the time of enrollment.Individuals can apply online or by submitting an application through mail. To enroll by mail, download a paper application, download an enrollment kit, or request an enrollment kit be mailedCall for assistance in completing applicationFor more information on the Match the Promise Program, visit Match the Promise Information","One-time, non-refundable Application Fee: $25There may also be fees for late payments, returned payments, wire transfers, overnight deliveries and other special requests.",,"Texas Tuition Promise Fund:Purchaser must be a US citizen or legal resident 18 years or older if the beneficiary is a Texas resident when the contract is purchased. If the beneficiary is not a Texas resident, then the purchaser must be the parent of the beneficiary and a Texas resident The beneficiary must be a Texas resident on the date the designation is made or changed. If the beneficiary is not a Texas resident, their parent must be both a Texas resident and purchaser when the designation is made or changedThere is no age limit for the beneficiary, except that all contract benefits must be used within 10 years of the beneficiary's projected date of high school graduation, excluding any periods of active duty service in the United States Armed Forces Match the Promise:Have a Texas Tuition Promise Fund accountBe a Texas resident and a dependent for tax purposes of a Texas residentBe a student in grade 5 - 9, andHave a family income of $100,000 or less",,,,,,,4f7cb595-9a50-476f-873c-c4bebd160b28,Individual and Family Life
e1a600d9-0633-4322-b69c-2aa4abde3f60,State Tax Collection and Information,"Collects taxes and fees owed the state. Provides applications for sales tax permits for businesses that collect state sales tax. Provides information about various state taxes, including sales franchises, fuel, hotels, amusement, and minerals.For a list of taxes administered by the Comptroller's office, visit https://comptroller.texas.gov/taxes/a-to-z.php",http://comptroller.texas.gov/taxes/sales/,,ACTIVE,"English, Spanish","Call or visit website for more information. For more information about services offered online, visit Virtual Field Office.For specific tax issues, call the following numbers:Delinquent Tax Account Matters, 800-252-8880Sales and Use Tax Information/Assistance, 800-252-5555Franchise Tax Help Information/Assistance, 800-252-1381Certificates of Account Status/Good Standing, 800-252-1386Businesses struggling to pay their sales taxes due to COVID-19 can call the Enforcement Hotline to learn about options for remaining in compliance and avoiding interest and late fees on taxes due.For more information on local field offices, visit Locations and Hours.",,,Open to the public,,,,,,,4f7cb595-9a50-476f-873c-c4bebd160b28,Income Support and Employment
f26a65d7-0ffc-480e-b099-10ec71c5d814,Tax Seminars,"Offers sales and use tax seminars for business owners across the state throughout the year.The seminars are free and no registration is required. Consumers, retailers, and practitioners are also invited to participate in sales tax webinars hosted by the Comptrollers office.Taxpayer seminars are geared toward new business taxpayers, but offer helpful information for all taxpayers. They include an overview of tax responsibilities and information on voluntary compliance with sales tax laws and regulations. Each seminar is also driven by discussion and attendees are encouraged to bring their questions and comments.",http://comptroller.texas.gov/taxes/resources/seminars.php,,ACTIVE,"English, Some seminars conducted in Spanish","Walk-ins accepted for the tax seminars. Visit website for information on upcoming seminars. Information includes date, time, location, and local office contact information.For information on local offices, visit Locations and Hours. Contact local office for specific information about tax seminars.",,,Open to the public,,,,,,,4f7cb595-9a50-476f-873c-c4bebd160b28,Income Support and Employment
adb283a5-7aa7-45d2-ab68-c27c5990e959,Texas ABLE,"Encourages and assists individuals and families in saving funds for the purpose of supporting individuals with disabilities maintain health, independence, and quality of life; and to provide secure funding for qualified disability expenses for individuals with disabilities that will supplement, but not supplant, benefits provided through private insurance, Medicaid, SSI, SSDI, the Designated Beneficiary's employment, and other sources. Balances in the Texas ABLE Program Account (Account) are disregarded for purposes of determining the Designated Beneficiary's eligibility to receive benefits under Medicaid. Balances of up to $100,000 will be disregarded for purposes of determining the Designated Beneficiary's eligibility to receive benefits under the Supplemental Security Income (SSI) program.",http://www.texasable.org/,customerservice@texasable.org,ACTIVE,English,"To sign up for Texas ABLE, visit Open an Account.Visit website for more information on:. Qualified Expenses. Tax Reporting. Contributions and Withdrawals. Account Fees","Minimum initial contribution to open an account is $50, and there is a minimum of $25 for subsequent contributions",,". Resident of Texas. Individual can establish that she or he has a disability through: SSI or SSDI, a physician's diagnosis, or a condition listed under the Social Security Administration's list of Compassionate Allowances Conditions. Individual's disability was present before age 26. For more information on eligibility, visit Texas ABLE Eligibility",,,,,,,4f7cb595-9a50-476f-873c-c4bebd160b28,Target Populations
dd013850-2a8f-4d86-916c-48fcca32429f,School Supplies Sales Tax Holiday,"Provides a Sales Tax Holiday in August for clothing and school supplies. During this event, no state or local sales tax will be charged on eligible items. The 2024 sales tax holiday begins Friday, Aug. 9, and goes through midnight Sunday, Aug. 11. Items that qualify for sales tax exemption must be priced less than $100 and include: Adult and infant diapers; Adult, child and infant clothing and shoes; Coats and jackets; Backpacks (for elementary and secondary school students, not college students);School Supplies, Face Masks Belts; Sweat suits/gym wear; Swim suits; And more Items that do not qualify for the sales tax exemption include: Sports uniforms and helmets; accessories such as jewelry and watches; items that are carried rather than worn, including handbags, briefcases and wallets; items defined as luggage, athletic/duffel/gym bags, computer bags, purses, or framed backpacks; and clothing rentals, such as formal wear and costumes. Layaway plans may be used to take advantage of the sales tax holiday.",http://comptroller.texas.gov/taxes/publications/98-490/,,ACTIVE,English,Call to ask if an item is exempt from sales tax or visit August Sales Tax Holiday for August Sales Tax Holiday information.,,,Open to the public,,,,,,,4f7cb595-9a50-476f-873c-c4bebd160b28,Individual and Family Life
a0282bc2-83b9-460b-a36f-0546710265ca,Energy Star and Water-Efficient Sales Tax Holiday,"Provides a Sales Tax Holiday in May for Energy Star Appliances and Water-Efficient Products. During this event, no state or local sales tax will be charged on eligible items.The 2022 holiday begins Saturday, May 28, and goes through Monday, May 30 (Memorial Day).Items that qualify for the Energy Star Sales Tax Holiday include: Air Conditioners (with a sales price of $6,000 or less) Refrigerators (with a sales price of $2,000 or less) Ceiling fans Incandescent and fluorescent light bulbs Clothes washers Dishwashers Dehumidifiers Programmable thermostatsItems that DO NOT qualify, even if they are ENERGY STAR-labeled include: Water heaters Clothes dryers Freezers Stoves Attic fans Heat pumps Wine refrigerators Kegerators Beverage chillersWater Efficient Products Sales TaxYou can buy items tax free during the holiday that are used or planted for: Conserving or retaining groundwater; Recharging water tables; or Decreasing ambient air temperature, and so limiting water evaporation.Examples of items that qualify for the exemption include: Soaker or drip-irrigation hose Moisture control for a sprinkler or irrigation system Mulch Rain barrel or an alternative rain and moisture collection system Permeable ground cover surface that allows water to reach underground basins, aquifers or water collection points Plants, trees and grasses Water-saving surfactants Soil and compostExamples of items that DO NOT qualify for the exemption include: Construction/building materials Awnings and other items used to create shade Air conditioners* Ceiling fans* Sprinklers*Certain air conditioners and ceiling fans can be bought tax free as part of the Energy Star Sales Tax Holiday during Memorial Day weekend.Additional charges affect purchase price:Delivery, shipping, handling, and transportation charges are part of the sales price. If delivery charge is $50 for a $1,995 Energy Star refrigerator for a total sales price of $2,045, the purchaser would be responsible to pay tax on the full amount because it is over $2,000 cap for refrigerators.",http://comptroller.texas.gov,,ACTIVE,English,Call to ask if an item is exempt from sales tax or visit Energy Star Sales Tax Holiday for Energy Star Sales Tax Rebate information and Water-Efficient Products Sales Tax Holiday for Water-Efficient Product Sales Tax Rebate Information.,,,Open to the public,,,,,,,4f7cb595-9a50-476f-873c-c4bebd160b28,Individual and Family Life
5f40bbfc-0a98-4c77-bedd-8129ecff95cc,Texas Unclaimed Property Program,"Provides a searchable database of unclaimed property. The Texas unclaimed property law requires financial institutions, businesses, and government entities to report to the state any individual's personal property they are holding that is considered abandoned or unclaimed.Property is turned over to the Comptroller's office annually when the owner's whereabouts are unknown and the property has been inactive on the books of the reporting company, after the appropriate abandonment period has passed.",http://ClaimItTexas.org,unclaimed.property@cpa.texas.gov,ACTIVE,"English, Spanish","Visit website and click on Get Started to initiate search, or under the Claiming Property tab, select Search for Unclaimed Property.Follow the directions and provide all requested information. Searches also may be requested by calling. The database does not show properties with a cash value of less than $25. However, properties of all amounts are available to claim. If an individual believes the Unclaimed Property Division is holding their item and their name does not appear in the database search, they may call or use the Search Request Form for a complete Texas Unclaimed Property search.",No charge for inquiries; A percentage handling fee is deducted from the returned amount of approved claims: 1.5% of payments exceeding $100,,Open to the public,,,,,,,4f7cb595-9a50-476f-873c-c4bebd160b28,Organizational/Community Services
3b35d4db-d1bb-47a2-a722-7ba4bb5eec27,Homeless Education Services and Liaison Directory,"Provides information and referrals through a public website and hotline to help students who are homeless enroll in school and locate the necessary items to attend school. Provides training, information, and assistance to interested parties in order to ensure all school-aged children who are experiencing homelessness in Texas have access to public education.",http://www.theotx.org/,,ACTIVE,"English, Spanish, Multi-Language Line available","Call or visit website for information. To locate the Homeless Education Liaison that works at your school district, visit https://www.theotx.org/liaison and browse alphabetically or enter the district name. You may also group districts by region using the map at https://www.theotx.org/liaison-directory/.",,,"Students who lack a fixed, regular, nighttime residence including children whose families are living in any of the following situations:A homeless shelterDoubled-up with other peopleCar, park, empty building, bus or train stationMotel or campground",,,,,,,f36f43d4-1453-4fc6-bc68-65ff8a9fba2d,Organizational/Community Services
3459d646-11c4-43d4-a1b5-a6bf2a515ccd,Consumer Complaint Services,"Investigates complaints regarding funeral directors, embalmers, mortuary service personnel, crematories, some cemeteries, and funeral service establishments.",http://www.tfsc.state.tx.us/complaints.html,info@tfsc.state.tx.us,ACTIVE,English,Complaints must be filed within two years of the event giving rise to the complaint (however good cause shown could wave this time limit).Visit website for complaint process instructions.,,,Anyone who believes an individual or establishment licensed by the TFSC has violated the Commission's governing laws or rules,,,,,,,b917e1da-9113-4897-8451-18613b872bcf,Consumer Services
a02754b5-b324-42e0-83b7-61d59075dc26,Licensing Services,"Issues licenses for funeral directors, embalmers, crematories, some cemeteries, and funeral service establishments. Provides information about governing laws and continuing education.",http://www.tfsc.state.tx.us,info@tfsc.texas.gov,ACTIVE,English,Visit website for instructions.,Licensing Fee of $462.00,,"Funeral directors, embalmers, crematories, some cemeteries, and funeral service establishments",,,,,,,b917e1da-9113-4897-8451-18613b872bcf,Individual and Family Life
2f5c62c7-a5a1-4c0b-8fa5-2498da0785eb,Preservation Services,"Protects and preserves the state's historic and prehistoric resources for the use, education, enjoyment and economic benefit of Texans.Provides information in the areas of archeology, architecture, history, economic development, heritage, tourism, public administration and urban planning.Provides a variety of free publications including visitor guides, information on historical sites, and more.",http://www.thc.texas.gov,thc@thc.texas.gov,ACTIVE,"English, Spanish","Call, email, or visit website for more information.",,,Open to the public,,,,,,,a6fee0d0-dac3-4e66-86db-3716a4041373,Organizational/Community Services
a45c1ddf-d52f-4372-a4be-4ff918161de9,Legal Services,"Provides free legal assistance for transactional matters, not involving litigation, to nonprofit organizations that serve low-income communities. Services are provided by volunteer attorneys.Services include assistance with incorporation, federal tax exemption, bylaws, contracts, internal policies, board compliance, and other nonprofit legal needs. Offers free legal workshops for nonprofits and an online Legal Resource Center with information on legal issues affecting nonprofits. Website lists upcoming workshops.As of June 10, 2022, CBAR services are limited to TRLA's 68-county service area in South and West Texas, which includes greater San Antonio, Austin, El Paso, and the RioGrande Valley.",http://www.trla.org/nonprofits,texascbar@trla.org,ACTIVE,"English, Spanish","Call, email, or visit website for information on application process. Applications can be sent by email, fax, or mail.Note: After application is submitted, it will be reviewed for acceptance in-house or possible referral to a partner law firm. This may take 2 - 6 weeks or longer.",,,"Be a nonprofit organization, unincorporated association, a 501(c)(3) nonprofit, or seeks to be one Organizations must have a primary mission of helping people with low incomeBe governed by a diverse board of directors not related by family members or persons serving as both board members and paid staff Lack ability to afford legal assistance or paying for legal services would negatively impact their charitable work",,,,,,,85d3806e-14a3-4fbd-81d1-30d5fde9836d,Criminal Justice and Legal Services
cb026b36-5ba7-4e18-b391-529524b35170,Consumer Complaint Services,"Investigates complaints against licensed dentists, dental hygienists, registered dental assistants, and dental laboratories. Complaints may include quality of care allegations, sanitation violations, professional conduct issues and issues such as patient abandonment or failure to comply with TSBDE rules and regulations.Assists local law enforcement with the investigation of practicing without a license complaints. Does not have jurisdiction over fee disputes.",http://tsbde.texas.gov/complaints/how-to-submit-a-complaint/,complaints@tsbde.texas.gov,ACTIVE,English,"Complaints must be submitted in writing by email, fax, or mail. You must use the Complaint Form, which can be found on the website, to submit your complaint. See website for more details on the process.",,,Residents of the state of Texas,,,,,,,4cfc3e5c-c96e-41e8-9379-abf8eb19a232,Consumer Services
0c8618ac-153c-40c2-af44-34cec9ef925c,Licensing and Registration Services,"Provides enforcement, licensing, peer assistance, and related information services to dentists, dental hygienists and dental assistants.",http://tsbde.texas.gov/licensing/,licensinghelp@tsbde.texas.gov,ACTIVE,English,"To get a license to become a dentist or dental hygienist, you can apply online or by mail. Please call, email, or visit the website for details on this process, as well as how to apply to become a dental assistant.Call to get more information from the Licensing Division or to report a change of address.","None for license verification. Fees apply for examination, license, and registration services. Call, visit the website, or email for more information.",,Residents of the state of Texas,,,,,,,4cfc3e5c-c96e-41e8-9379-abf8eb19a232,Organizational/Community Services
836a4f1b-6382-46da-aeaa-7bf3dac0a422,Open Records Requests,"Provides an online search portal to verify a licensee or registrant's current license status and view any public actions taken by the Board against a licensee or registrant. Posts a list of every disciplinary action and remedial plans entered against dentist, dental hygienist, and dental assistant licensees following each quarterly board meeting. Offers a list of licenses that have been temporarily suspended by an executive committee of the Board.",http://tsbde.texas.gov/resources/open-records-requests/,openrecords@tsbde.texas.gov,ACTIVE,English,"Submit a written request (mail, fax, e-mail, or in person). Include a mailing address if you wish to have the copies mailed to you.To schedule an appointment to review records at the offices of the Texas State Board of Dental Examiners in Austin, Texas, please specify in your open records request that you wish to inspect the records and submit a written request to and arrangements will be made to inspect the records.",Please visit the website for more information.,,Open to the public,,,,,,,4cfc3e5c-c96e-41e8-9379-abf8eb19a232,Organizational/Community Services
df76ab55-0110-4c33-afdd-e4f110938fd4,Child Support Payments Services,"Provides child support enforcement, upon request, for delinquent child support and medical support.",http://www.traviscountytx.gov/dro/,dro.email@traviscountytx.gov,ACTIVE,"English, Spanish, Interpretation available through a Language Line","Complete the application for services on the website.

Cases with an original court order dated BEFORE 7/1/09 - 
To obtain enforcement services for child support, medical support, or visitation enforcement services: Download the Enforcement Application form and an Affidavit of Direct Payment form (if applicable) from the website and submit to the Domestic Relations Office. Cases with an original court order dated 

AFTER 7/1/09 Enforcement services will automatically be entered in the monitoring program. Immediate action will be taken on delinquent cases. 

Call the Child Support Enforcement Line for additional information concerning child support matters. The automated telephone system assists parents with questions about child support payments or court hearing dates.",,,Parents with a final Travis County court order regarding child support (e.g. a divorce decree),,,,,,,8ecede5b-1ebd-4f6e-a685-7e578edebeae,Individual and Family Life
871fb446-44a4-423b-840a-ef2ecad3c775,Cooperative Parenting Program,"Hosts six Cooperative Parenting classes intended to increase parental understanding about the effects of separation/divorce on children, and promote co-parenting practices.
Provides information about: communication, conflict resolution, positive co-parenting, legal issues, child development, and anger management.
Classes may be taken virtually or in-person. Children are not allowed to attend in-person classes. A certificate is provided if needed in court.",http://www.traviscountytx.gov/dro/parenting-class,,ACTIVE,"English, American Sign Language by appointment","Class registration is required. Download the registration form from the website or pick up the form at the Domestic Relations Office. Drop off or mail completed forms to Domestic Relations Office. 
Once application is received, the program facilitator will contact applicant about class attendance. 
Visit the website to register for online course.",,,"Parents who are:
- Separated, divorced, or never married; <b>and</b>
- Raising children as co-parents",,,,,,,8ecede5b-1ebd-4f6e-a685-7e578edebeae,Individual and Family Life
75610153-b388-4cc3-ae2b-c461d9efc714,Kids Exchange Network,"Offers Kids Exchange, a network of private providers administered by the Travis County Domestic Relations Office who offer parenting time services, such as: 
<ul><li>Neutral exchanges 
<li>Supervised visitation 
<li>Therapeutic visitation 
<li>Documentation of all exchanges and supervised visits</ul>",http://www.traviscountytx.gov/dro/kids-exchange,,ACTIVE,"English, languages vary by provider",Visit the website for a list of providers or call the office for additional information about each program.,Varies by provider; call or visit website for information,,"Parents who are separated, divorced or divorcing, or in paternity situations who meet one of the following criteria:
- Children need to go from one parent to the other parent without the parents meeting 
- Children's time with a parent is restricted to monitored or structured settings
- Parent has been prevented from visiting his/her children in spite of a visitation court order 
- Parent hasn't seen his/her children for some time and would like help in re-establishing a relationship with them 
- Parent is concerned about the children's safety during visits with the other parent",,,,,,,8ecede5b-1ebd-4f6e-a685-7e578edebeae,Individual and Family Life
