Agency_Id,Site_Id,Site_CreateFormsetDeploymentId,Site_EditAccountId,Site_EditPortalId,Site_EditFormsetDeploymentId,Site_CreateStamp,Site_EditStamp,Site_AuditStamp,Site_Status,SiteSystem_ContentBlock13,SiteSystem_Name,SiteSystem_Aka,SiteSystem_Fax,SiteCustom_FaxNumberDetails,SiteCustom_TddPhoneNumber,SiteCustom_TddPhoneNumberDetails,SiteSystem_Websiteurl,SiteSystem_EmailAddress,SiteSystem_AdaAccess,SiteCustom_HoursOfOperation,SiteSystem_PhoneMain,SiteCustom_MainPhoneName,SiteCustom_MainPhoneDescription,SiteCustom_PhoneNumber2,SiteCustom_PhoneNumber2Name,SiteCustom_PhoneNumber2Description,SiteCustom_PhoneNumber3,SiteCustom_PhoneNumber3Name,SiteCustom_PhoneNumber3Description,SiteCustom_PhoneNumber4,SiteCustom_PhoneNumber4Name,SiteCustom_PhoneNumber4Description,SiteAddressus_SiteAddressus_id,SiteAddressus_SiteAddressus_address_1,SiteAddressus_SiteAddressus_address_2,SiteAddressus_SiteAddressus_city,SiteAddressus_SiteAddressus_county,SiteAddressus_SiteAddressus_state,SiteAddressus_SiteAddressus_zip,SiteAddressus_SiteAddressus_country,SiteAddressus_SiteAddressus_notes,SiteAddressus_SiteAddressus_latitude,SiteAddressus_SiteAddressus_longitude,SiteAddressus_MailingAddress_id,SiteAddressus_MailingAddress_address_1,SiteAddressus_MailingAddress_address_2,SiteAddressus_MailingAddress_city,SiteAddressus_MailingAddress_county,SiteAddressus_MailingAddress_state,SiteAddressus_MailingAddress_zip,SiteAddressus_MailingAddress_country,SiteAddressus_MailingAddress_notes,SiteAddressus_MailingAddress_latitude,SiteAddressus_MailingAddress_longitude,SiteOption_Status,SiteSystem_SiteStaffNotes,SiteOption_RecordOwner,SiteSystem_DataSourceCode,SiteCustom_ExcludeFromDirectory,SiteCustom_PreferredProvider,SiteCustom_LastVerifiedOn,SiteCustom_LastVerifiedTitle,SiteSystem_EditNotes,SiteSystem_StaffNotes,SiteCustom_TemporaryMessage,SiteCustom_TemporaryMessageStart,SiteCustom_TemporaryMessageEnd,SiteCustom_EnteredOn,SiteSystem_DateOfLastCompleteUpdate,SiteSystem_LastEditDate,SiteCustom_MadeInactiveOn
127,273,150,63,1,122,2023-08-30 17:00:34,2023-12-04 11:54:41,,active,,ACES Austin,,,,,,,,Location is accessible to people with disabilities,,855-223-7123,Main Phone,,512-590-1429,Insurance Questions,,,,,,,,1090,1101 W 40 St,Ste 102,Austin,,,78756,US,,30.321188,-97.739399,1089,1101 W 40 St,Ste 102,Austin,,,78756,US,,0,0,"[""Active""]",,"[""South Central""]",,false,false,2023/12/04,,12/4/2023 er updated with agency over zoom/ teams call 11/1/2022 web update11/2/2021 se updated with Ashleigh,,,,,2021/11/02,,2023/12/04,
127,274,150,37,1,117,2023-08-30 17:00:35,2023-11-02 12:16:15,,active,,ACES El Paso,,,,,,,,Location is accessible to people with disabilities,,855-223-7123,Main Phone,,512-590-1429,Insurance Questions,,,,,,,,1094,725 S Mesa Hills Dr,Bldg 3,El Paso,El Paso,TX,79912,US,,31.84159,-106.538186,1093,,,,,,,US,,0,0,"[""Active""]",,"[""South Central""]",,false,false,2022/11/02,,11/1/2022 se web update11/2/2021 se updated with Ashleigh,,,,,2021/11/02,,2022/11/02,
131,278,150,40,1,122,2023-08-30 17:00:35,2024-03-29 15:58:38,,active,,Headquarters,American Civil Liberties Union,,,,,https://www.aclutx.org,acluinfo@aclutx.org,Location is accessible to people with disabilities,,713-942-8146,Media Line,,,,,,,,,,,1110,,,,,TX,,US,,29.729141,-95.364499,1109,PO Box 8306,,Houston,,TX,77288,US,,0,0,"[""Active""]",,"[""TIRN""]",,false,false,2024/03/29,Program Specialist I,web verified - SAL 06/13/2022web update - SAL 06/23/2021,,,,,,,2023/03/06,
132,279,150,40,1,122,2023-08-30 17:00:36,2024-07-23 14:37:40,,active,,Headquarters,,,,,,http://act.org,,No Physical Location,,,,,,,,,,,,,,1114,500 ACT Dr,Ste. 200,Iowa City,Johnson,IA,52243,US,,41.65825,-91.535124,1113,PO Box 168,,Iowa City,,IA,52243,US,,0,0,"[""Active""]",,"[""TIRN""]",,false,false,2024/07/23,Program Specialist I,web verified - SAL 09/29/2021,,,,,,2023/07/19,2023/07/19,
138,291,150,58,1,122,2023-08-30 17:00:39,2023-12-18 15:25:06,,active,,Austin Office,,512-906-1166,,,,,adapt@adapt.org,Location is accessible to people with disabilities,,512-442-0252,Office,,,,,,,,,,,1162,1100 S IH 35,,Austin,Travis,TX,78704,US,,30.2653,-97.715271,1161,,,,,TX,,US,,0,0,"[""Active""]",,"[""South Central""]",,false,false,2023/12/18,,"12/18/2023 se web update
12/21/2021 se web update7/9/2020 JK Web Update",Located at corner of IH-35 and Riverside near the Housing Authority,,,,,2023/12/18,2023/12/18,
144,297,150,25,1,150,2023-08-30 17:00:40,2023-08-31 15:55:52,,active,,Addiction and Psychotherapy Services,,512-444-5099,,,,https://www.austinmethadone.com,,Wheelchair-accessible Inside,,512-444-5092,Main Phone,,,,,,,,,,,1186,2824 S. Congress Ave.,,Austin,Travis,TX,78704,US,,30.244865,-97.765554,1185,2824 S. Congress Ave.,,Austin,,TX,78704,US,,0,0,"[""Inactive""]",,"[""South Central""]",,false,false,,,,04/29/2014 SM agency cancelled because a methadone clinic,,,,,,,2015/09/11
145,298,150,40,1,122,2023-08-30 17:00:41,2023-12-01 10:35:25,,active,,Headquarters,,,,,,,,Location is accessible to people with disabilities,,,,,,,,,,,,,,1190,4701 Sangamore Road,Ste 100N - 1173,Bethesda,Montgomery,MD,20816,US,,38.9497692,-77.1199016,1189,,,,,,,US,,0,0,"[""Active""]",,"[""TIRN""]",,false,false,2023/12/01,Program Specialist,web update - HL 11/23/2022web update - SAL 02/28/2022,,,,,2019/05/31,,2022/11/23,
151,302,150,40,1,122,2023-08-30 17:00:42,2023-10-30 14:40:07,,active,,Austin Office,,,,,,,,Location is accessible to people with disabilities,,,,,512-477-1122,Main Phone,,,,,,,,1206,1801 West Koenig Lane,,Austin,Travis,TX,78756,US,,30.3330422,-97.7366845,1205,,,,,,,US,,0,0,"[""Active""]",,"[""TIRN""]",,false,false,2023/10/30,Program Specialist I,,,,,,2021/12/06,,2022/11/07,
151,303,150,40,1,122,2023-08-30 17:00:42,2023-10-30 14:40:46,,active,,Dallas Office,,,,,,,,Location is accessible to people with disabilities,,,,,972-914-8490,Main Phone,,,,,,,,1210,10300 North Central Expressway,Ste 280,Dallas,Dallas,TX,75231,US,,32.8859857,-96.7685546,1209,1801 W Koenig Ln,,Austin,,TX,78756,US,,0,0,"[""Active""]",,"[""TIRN""]",,false,false,2023/10/30,Program Specialist I,,,,,,2021/12/06,,2022/11/07,
151,304,150,40,1,122,2023-08-30 17:00:42,2023-10-30 14:43:42,,active,,Houston Office,,,,,,,,Location is accessible to people with disabilities,,,,,,,,,,,,,,1214,13810 Champion Forest Drive,Ste 150,Houston,Harris,TX,77069,US,,29.9902161,-95.5226316,1213,,,,,,,US,,0,0,"[""Active""]",,"[""TIRN""]",,false,false,2023/10/30,Program Specialist I,,,,,,2021/12/06,,2022/11/07,
151,305,150,40,1,122,2023-08-30 17:00:42,2023-10-30 14:45:28,,active,,San Antonio Office,,,,,,,,Location is accessible to people with disabilities,,,,,,,,,,,,,,1218,12050 Vance Jackson Rd,Ste 102,San Antonio,Bexar,TX,78230,US,,29.5531,-98.57238,1217,1801 W Koenig Lane,,Austin,,TX,78756,US,,0,0,"[""Active""]",,"[""TIRN""]",,false,false,2023/10/30,Program Specialist I,,,,,,2021/12/06,,2022/11/07,
152,306,150,37,1,122,2023-08-30 17:00:43,2024-03-05 09:24:11,,active,,Headquarters,,,,,,,,Location is accessible to people with disabilities,,,,,,,,,,,,,,1222,,,,,,,US,,39.954244,-75.164532,1221,1735 Market Street,Ste A-441,Philadelphia,Philadelphia,PA,19103,US,,39.9538402,-75.1693931,"[""Active""]",,"[""TIRN""]",,false,false,2024/02/06,Program Specialist,web update - SAL 06/25/2021web verified - SAL 06/14/2022,,,,,,,2022/06/14,
173,330,150,53,1,122,2023-08-30 17:00:49,2024-01-30 10:28:48,,active,,Inactive,Manor Excel High School Campus,512-281-9599,,,,,,Location is accessible to people with disabilities,,512-281-4180,Advocacy Outreach,,,,,,,,,,,1318,Manor Excel High School Campus,600 E Parsons St,Manor,Travis,TX,78653,US,,30.31896,-97.53696,1317,,,,,TX,,US,,0,0,"[""Inactive""]",,"[""South Central""]",,false,false,2022/10/25,Director,,10/25/22 sn - Inactivated bc this site was for Family Literacy and ESL programs which are no longer available,,,,,,2022/10/25,2022/10/25
173,331,150,53,1,122,2023-08-30 17:00:49,2024-01-30 10:26:28,,active,,Elgin Office,,512-281-9599,,,,https://www.advocacyoutreach.org,info@advocacyoutreach.org,Location is accessible to people with disabilities,"Mon 11:00 pm - 4:00 pm; Tues - Thurs 9:00 am - 4:00 pm

Closed Fridays, weekends, federal holidays, and school holidays",512-281-4180,Office,,,,,,,,,,,1322,200 A Depot St,,Elgin,Bastrop,TX,78621,US,,30.32352,-97.37952,1321,PO Box 169,,Elgin,Bastrop,TX,78621,US,,0,0,"[""Active""]",,"[""South Central""]",,false,false,2024/01/30,Housing Navigator,1/30/24 sn - Completed via email update,,,,,,2024/01/30,2024/01/30,
175,333,150,25,1,150,2023-08-30 17:00:49,2023-08-31 15:55:54,,active,,"Advocacy, Inc.",,512-323-0902,,866-362-2851,,https://www.disabilityrightstx.org,,Location is accessible to people with disabilities,,512-454-4816,Main Phone,,800-252-9108,Other phone,,,,,,,,1330,2222 West Braker Lane,,Austin,Travis,TX,78758,US,,30.377566,-97.708694,1329,2222 West Braker Lane,,Austin,,TX,78758,US,,0,0,"[""Inactive""]",,"[""South Central""]",,false,false,2013/08/09,,,web update 2013vs,,,,,,2013/08/09,2015/09/11
181,340,150,25,1,150,2023-08-30 17:00:51,2023-08-31 15:55:54,,active,,Austin Achieve High School Gym,,,,,,,,,,512-248-4480,African American Youth Harvest Foundation,,,,,,,,,,,1358,7424 E Hwy 290,Building 2,Austin,Travis,TX,78723,US,,30.32113,-97.69364,1357,,,,,,,US,,0,0,"[""Inactive""]",,"[""South Central""]",,false,false,2021/10/26,,,10/26/2021 se web update,,,,2021/04/13,,2021/10/26,
181,341,150,37,1,117,2023-08-30 17:00:52,2023-11-02 12:16:16,,active,,African American Youth Harvest Foundation,,512-428-4480,,,,,contactus@aayhf.org,Location is accessible to people with disabilities,,512-428-4480,Administrative Line,,512-428-4480,Reception,,512-428-4480,Mentorship/Scholarships/Workforce Assistance,,,,,1362,6633 Hwy 290 East,"Ste 307 (Administrative Office), Ste 308 (Computer Lab)",Austin,Travis,TX,78723,US,,30.307418,-97.683871,1361,,,,,TX,,US,,0,0,"[""Active""]",,"[""South Central""]",,false,false,2022/11/17,Mentorship Program Coordinator,11/17/2022 se web update10/26/2021 se web update,,,,,,,2022/11/17,
182,342,150,40,1,122,2023-08-30 17:00:52,2024-07-03 14:09:55,,active,,Headquarters,,,,,,,,Not a physical location,,800-977-4121,Main Phone,,,,,,,,,,,1366,,,,,,53209,US,,43.124296,-87.945375,1365,5775 N Glen Park Rd,Ste 201,Glendale,,WI,53209,US,,0,0,"[""Active""]",,"[""TIRN""]",,false,false,2024/07/03,Program Specialist I,web verified - SAL 09/29/2021web update - HL 9/26/22,,,,,,2023/07/06,2023/07/06,
190,352,150,63,1,122,2023-08-30 17:00:54,2024-03-12 16:04:22,,active,,Agape Pregnancy Resource Center,,512-244-1425,,,,,,Location is accessible to people with disabilities,,512-248-8200,Office,,737-200-2324,Text Only,,,,,,,,1406,104 E Main St,,Round Rock,Williamson,TX,78664,US,,30.511423,-97.670396,1405,,,,,TX,,US,,0,0,"[""Inactive""]",,"[""South Central""]",,false,false,2022/11/28,Executive Director,11/28/2022 MR updated over the phone with Jo.8/23/2021 se update over phone with Jennifer,,,,,,,2022/11/28,2024/03/12
191,353,150,37,1,117,2023-08-30 17:00:55,2023-11-02 12:16:16,,active,,Thrive Social & Wellness Center - Williamson County,"Round Rock Adult Day Health Center, Williamson County Adult Day Health Center",512-853-6086,,,,,lgreenwade@ageofcentraltx.org,Location is accessible to people with disabilities,,512-255-4865,Thrive Social & Wellness Center - Williamson County,,512-451-4611,AGE of Central Texas,,,,,,,,1410,475 Round Rock W Dr,Ste 120,Round Rock,Williamson,TX,78681,US,,30.512388,-97.711701,1409,,,,,TX,,US,,0,0,"[""Active""]",,"[""South Central""]",,false,false,2022/10/25,Director of Marketing and Communications,10/25/2022 se updated by phone6/2/2021 se - phone update with rob,,,,,,,2022/10/25,
191,354,150,37,1,117,2023-08-30 17:00:55,2023-11-02 12:16:16,,active,,Thrive Social and Wellness Center - Central Austin,Austin Adult Day Health Center,512-853-6086,,,,,lduerksen@ageofcentraltx.org,Location is accessible to people with disabilities,,512-458-6305,Thrive Social and Wellness Center - Central Austin,,512-451-4611,AGE of Central Texas,,,,,,,,1414,3710 Cedar St,Ste 199,Austin,Travis,TX,78705,US,,30.30064,-97.73528,1413,3710 Cedar St,Box 2,Austin,,,78705,US,,0,0,"[""Active""]",,"[""South Central""]",,false,false,2022/10/25,Director of Marketing and Communications,10/25/2022 se updated by phone6/2/2021 se - phone update with rob,,,,,2019/06/25,,2022/10/25,
191,355,150,37,1,117,2023-08-30 17:00:55,2023-11-02 12:16:16,,active,,Administrative Office,,512-451-3110,,,,,,Location is accessible to people with disabilities,,512-451-4611,AGE of Central Texas,,,,,,,,,,,1418,3710 Cedar St,,Austin,Travis,TX,78705,US,,30.293042,-97.737245,1417,3710 Cedar St,Ste 100,Austin,,TX,78705,US,,0,0,"[""Active""]",,"[""South Central""]",,false,false,2022/10/25,Director of Marketing and Communications,10/25/2022 se updated by phone6/2/2021 se - phone update with rob,,,,,,,2022/10/25,
197,37002,117,40,1,122,2023-11-21 13:30:03,2024-03-13 11:33:40,,active,,No Physical Location,,,,,,,,Location is not Accessible for Persons with Disabilities,,,,,,,,,,,,,,145801,,,,,,,US,,0,0,145800,,,,,,,US,,0,0,"[""Active""]",,"[""TIRN""]",,false,false,2024/03/13,Program Specialist I,GOING FWD: determine if physical or mailing address available. 11/21/2023 - Added no physical site so resource can display on referral module. CD,,,,,,,2023/11/21,
199,363,150,25,1,150,2023-08-30 17:00:57,2023-08-31 15:55:56,,active,,AHA! at Briarcliff,,,,,,,,Location is accessible to people with disabilities,,,,,,,,,,,,,,1450,,,,,,,US,,0,0,1449,,,,,,,US,,0,0,"[""Inactive""]",,"[""South Central""]",,false,false,,,,,,,,2022/05/20,,,2022/05/20
210,374,150,25,1,150,2023-08-30 17:01:00,2023-08-31 15:55:57,,active,,Headquarters,,757-318-9107,,,,http://www.aircompassionforveterans.org,,Location is accessible to people with disabilities,,757-271-2289,Main Phone,,888-662-6794,Other phone,,,,,,,,1494,4620 Haygood Road,Ste 1,Virginia Beach,Virginia Beach City,VA,23455,US,,36.888011,-76.145542,1493,4620 Haygood Road,Ste 1,Virginia Beach,,VA,23455,US,,0,0,"[""Inactive""]",,"[""TIRN""]",,false,false,2015/05/01,,,,,,,,,2015/05/01,2017/04/17
212,376,150,40,1,122,2023-08-30 17:01:00,2024-07-19 13:53:44,,active,,Headquarters,,,,,,http://www.afas.org,,Not a physical location,,,,,,,,,,,,,,1502,1550 Crystal Dr,Ste 809,Arlington,Arlington,VA,22202,US,,38.85708,-77.06094,1501,PO Box 2208,,Arlington,,VA,22202,US,,0,0,"[""Active""]",,"[""TIRN""]",,false,false,2024/07/19,Program Specialist I,web verified - HL 9/26/22web verified - SAL 09/29/2021web verified - mkr 8/3/2020Previous address 241 18th St Ste Ste 202 - MR 5/3/2019Web Update - JC 4/28/2017,,,,,,2023/07/10,2023/07/10,
235,36912,122,40,1,122,2023-11-21 10:38:15,2024-03-13 11:38:13,,active,,Various Locations,,,,,,,,Location Accessible for People with Disabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Active""]",,"[""TIRN""]",,,,2024/03/13,Program Specialist I,,,,,,2023/11/21,,2023/11/21,
251,36729,122,40,1,122,2023-10-11 09:35:45,2023-12-21 14:51:20,,active,,No Physical Location,,,,,,,,No Access for People with Disabilities,,,,,,,,,,,,,,145281,475 Riverside Drive,11th and 8th Floors,New York,New York,NY,10115,US,,40.8109362,-73.963991,145280,P.O Box 459,Grand Central Station,New York,,NY,10163,US,,0,0,"[""Active""]",,"[""TIRN""]",,,,,,,,,,,,,2023/10/10,
278,590,150,40,1,122,2023-08-30 17:01:53,2024-04-17 12:19:31,,active,,Headquarters,,,,,,,,Location is accessible to people with disabilities,,,,,,,,,,,,,,2358,15900 La Cantera Pkwy,Ste 26235,San Antonio,Bexar,TX,78256,US,,29.58926,-98.61955,2357,,,,,,,US,,0,0,"[""Active""]",,"[""TIRN""]",,false,false,2024/04/17,Program Specialist I,added - 3/17/2023 HL,,,,,2023/03/17,,2023/03/17,
300,642,150,58,1,122,2023-08-30 17:02:06,2023-11-27 08:37:39,,active,,"Allgo, Inc.",,844-270-1583,,,,,allgo@allgo.org,Location is accessible to people with disabilities,,512-472-2001,Office,,,,,,,,,,,2566,701 Tillery St,Ste A1,Austin,Travis,TX,78702,US,,30.2653,-97.715271,2565,701 Tillery St,Box 4,Austin,,TX,78702,US,,0,0,"[""Active""]",,"[""South Central""]",,false,false,2023/11/27,,"11/27/2023 se web update
9/29/2022 sc - completed annual update9/27/21 se - Completed annual update based on website.8/20/19 ch - Annual update based on website",,,,,,2023/11/27,2023/11/27,
